file_name,time,coupure_client
FileA,1468,
FileA,1289,
FileA,1511,
FileD,923,
FileC,1833,
FileA,1023,
FileB,1306,
FileB,1520,
FileC,2382,
FileD,1637,
FileC,1462,
FileA,1448,
FileA,934,
FileA,1542,
FileD,1031,
FileC,1578,
FileA,1599,
FileB,1415,
FileB,1408,
FileC,2354,
FileD,1226,
FileC,1560,
FileA,1147,
FileA,949,
FileA,1679,
FileD,1038,
FileC,1492,
FileA,1555,
FileB,1031,
FileB,1473,
FileD,1408,
FileC,1510,
FileA,1225,
FileA,1479,
FileA,1503,
FileD,971,
FileC,1540,
FileA,2014,
FileB,1524,
FileB,1798,
FileC,2288,
FileD,1974,
FileC,2065,
FileA,2434,
FileA,1763,
FileA,2364,
FileD,1629,
FileC,,
FileA,1794,
FileB,1956,
FileB,1249,
FileC,2584,
FileD,1834,
FileC,1408,17087
